Datetime,Type,Ticker,Fullname,Positions,Share Price,Book Value,Category
2024-11-29 20:00:05,Liabilities,HouseLoan,HouseLoan,209612.0,1.0,209612.0,Liabilities
2024-11-29 20:00:05,Liabilities,Team Fund,Team Fund,42393.0,1.0,42393.0,Liabilities
2024-11-30 20:00:17,Assets,512290.SS,BIO ETF,296900.0,0.9449999928474426,280570.4978764057,Investments in CN
2024-11-30 20:00:17,Assets,DELL,Dell Technology,3031.0,924.121571042313,2801012.4818292507,Investments in US
2024-11-30 20:00:17,Assets,AMZN,Amazon,179.0,1505.726454691452,269525.03538976994,Investments in US
2024-11-30 20:00:17,Assets,BTC-USD,BTC,3.0,698593.2557629421,2095779.7672888264,Crypto to the Mars
2024-11-30 20:00:17,Assets,DOGE-USD,DOGE,89986.0,3.126699813244329,281359.2093946042,Crypto to the Mars
2024-11-30 20:00:17,Assets,IBKR,Interactive Brokers,4.0653,1384.0457143566746,5626.561042574189,Investments in US
2024-11-30 20:00:17,Assets,SOXL,SOXL,4.0,203.23576717755896,812.9430687102358,Investments in US
2024-11-30 20:00:17,Assets,VOO,Vanguard S&P 500 ETF,30.0,4008.583035143965,120257.49105431896,Investments in US
2024-11-30 20:00:17,Assets,KYS,Loan to KangYanSong,2744105.0,1.0,2744105.0,Loans Receivables
2024-11-30 20:00:17,Assets,QF,Loan to QiFeng,200000.0,1.0,200000.0,Loans Receivables
2024-11-30 20:00:17,Assets,YQ,Loan to YunQing,5000.0,1.0,5000.0,Loans Receivables
2024-11-30 20:00:17,Assets,GJ,Loan to GaoJian,10000.0,1.0,10000.0,Loans Receivables
2024-11-30 20:00:17,Assets,Cash-CNY,Cash in CNY,1480000.0,1.0,1480000.0,Cash in CNY
2024-11-30 20:00:17,Assets,CNY=X,Cash in USD,250.0,7.2428998947143555,1810.7249736785889,Cash in USD
2024-11-30 20:00:17,Liabilities,HouseLoan,HouseLoan,209612.0,1.0,209612.0,Liabilities
2024-11-30 20:00:17,Liabilities,Team Fund,Team Fund,42393.0,1.0,42393.0,Liabilities
2024-12-02 20:00:24,Assets,512290.SS,BIO ETF,296900.0,0.9542999863624572,283331.6659510136,Investments in CN
2024-12-02 20:00:24,Assets,DELL,Dell Technology,3031.0,915.032946203064,2773464.859941487,Investments in US
2024-12-02 20:00:24,Assets,AMZN,Amazon,179.0,1532.1567375141676,274256.056015036,Investments in US
2024-12-02 20:00:24,Assets,BTC-USD,BTC,3.0,697313.9077496342,2091941.7232489027,Crypto to the Mars
